y_vals,x_vals,shape_id
-50838.30261454394,106245.3414668561,0
-50307.32629313857,106006.40212222368,0
-49577.23385120617,105780.73718562639,0
-48900.239041414316,105555.07224902911,0
-48223.24423162246,105541.79784099397,0
-47878.109622708966,105302.85849636156,0
-47347.13330130359,104931.1750713778,0
-46643.58967544147,104811.7053990616,0
-45833.85078529828,104984.27270351832,0
-44878.093406768596,105342.68172046696,0
-44440.03794160916,105037.37033565887,0
-43709.945499676774,104692.23572674538,0
-42979.85305774438,105024.09592762374,0
-42754.1881211471,105568.34665706425,0
-42475.42555240927,105462.15139278318,0
-42037.37008724984,105289.58408832643,0
-41741.55475547404,105277.83109423799,0
-41408.54217059336,105143.20898545644,0
-41160.554075469445,105044.01374740688,0
-40806.28536814956,104803.11102642935,0
-40317.394552048136,104441.75694496308,0
-40104.83332765621,104328.39095862073,0
-40196.94319155938,104073.3174893504,0
-40090.662579363416,103839.50014251929,0
-39913.52822570347,103655.28041471295,0
-39715.13774960434,103612.76816983457,0
-39686.79625301876,104080.40286349681,0
-39686.79625301876,104484.26918984146,0
-39736.39387204354,105015.67225082128,0
-39800.16223936112,105483.30694448353,0
-39601.77176326198,105554.1606859475,0
-39070.36870228217,105724.20966546104,0
-38794.03911057267,105887.17327082819,0
-38560.221763741545,106383.14946107601,0
-38347.660539349614,106659.47905278551,0
-38092.5870700793,106971.235515227,0
-37717.72649414646,107271.39521295232,0
-37533.50676634012,107363.5050768555,0
-37441.39690243696,107767.37140320014,0
-37243.00642633782,107916.1642602745,0
-36917.07921560354,108093.29861393444,0
-36399.84690291651,108291.68909003357,0
-35804.675474619115,108426.31119881512,0
-35478.74826388483,108412.14045052233,0
-35176.26021811239,108440.84175126378,0
-34885.75987811009,108653.40297565571,0
-34772.39389176773,109036.01317956118,0
-34807.820762499716,109496.56249907702,0
-34651.94253127897,109730.37984590813,0
-34701.54015030375,109886.25807712889,0
-34442.388857496895,110071.85614715284,0
-34269.886001311286,109997.26031745096,0
-34139.34329933299,109927.32672710545,0
-33845.62221988183,109964.62464195638,0
-33626.496970132546,110053.20718972737,0
-33384.06052360142,110034.55823230189,0
-33197.570949346715,109927.32672710545,0
-33062.36600801205,109894.69105161088,0
-32880.53867311371,109862.05537611629,0
-32624.115508513492,109904.0155303236,0
-32414.314737476943,109941.31344517456,0
-32222.313073924797,109906.65620504256,0
-32016.837223679267,109694.09498065063,0
-31683.824638798582,109276.05790601317,0
-31457.09266611386,109346.91164747714,0
-31287.04368660032,109637.41198747944,0
-31131.165455379574,109701.18035479703,0
-30734.38450318131,109516.96062699068,0
-30160.46919732311,109722.43647723622,0
-29820.37123829603,109885.40008260336,0
-29565.297769025714,110253.83953821604,0
-29671.57838122168,110487.65688504715,0
-29940.822598784784,110445.14464016877,0
-30309.262054397455,110544.33987821834,0
-30429.713414886217,110593.93749724311,0
-30578.506271960567,110480.57151090076,0
-30798.15287049889,110530.16912992555,0
-31017.79946903721,110686.04736114628,0
-31053.2263397692,110969.46232700218,0
-31081.567836354792,111132.42593236933,0
-31450.007291967464,111359.15790505405,0
-31797.190625140942,111359.15790505405,0
-32286.081441242375,111352.07253090764,0
-32590.75252953747,111337.90178261485,0
-32888.338243686165,111295.38953773647,0
-33164.66783539567,111316.64566017567,0
-33440.997427105176,111444.1823948108,0
-33419.74130466598,111635.48749676356,0
-33214.26545442045,111826.79259871629,0
-32980.448107589335,111925.98783676585,0
-32647.43552270865,112046.43919725461,0
-32434.874298316725,112237.74429920735,0
-32449.045046609517,112556.58613579524,0
-32682.862393440635,112669.95212213759,0
-32909.594366125355,112733.72048945518,0
-33015.87497832132,112776.23273433356,0
-33267.329250419556,112859.847964452,0
-33337.26284076508,112785.2521347501,0
-33537.73913308889,112659.37167212818,0
-33691.59303184902,112645.38495405907,0
-33850.10916996552,112724.64302311733,0
-33845.446930609156,112841.19900702652,0
-33770.85110090727,113018.36410256849,0
-33649.632877641714,113279.44950652508,0
-33415.49283497814,113550.69866071,0
-33101.044415679295,113716.65754867329,0
-32795.3306746943,113908.82047157813,0
-32454.678220453876,113978.69789808898,0
-31939.332199936318,114127.18742942456,0
-31485.12892761576,114118.4527511107,0
-31240.557934827768,114415.43181378185,0
-31476.394249301902,114825.9616945331,0
-31712.23056377604,115009.3899391241,0
-32166.4338360966,115341.30771505069,0
-32559.49436022016,115481.06256807239,0
-33022.43231085458,115550.93999458324,0
-33555.24768799985,115612.08274278024,0
-33887.165463926416,115664.49081266338,0
-34489.858267582546,116232.24490306409,0
-34909.122826647676,117166.85548264677,0
-35223.57124594653,117586.12004171191,0
-35494.34627367609,118031.5886357186,0
-35824.41678953558,118442.66202812456,0
-36384.347588522214,118765.69902753993,0
-37073.49318727501,119185.64712677992,0
-37891.85358579396,119217.95082672146,0
-38591.76708452726,119217.95082672146,0
-39173.23368347494,119142.57552685787,0
-39765.468182403114,118981.05702715018,0
-40411.54218123386,118830.306427423,0
-41272.97417967485,118733.39532759838,0
-41757.52967879791,118679.55582769583,0
-42263.62097788199,118496.50152802712,0
-42705.104877082995,118184.23242859227,0
-42892.450621826036,117671.42362945424,0
-43331.743818902694,117550.97226896546,0
-43785.20776427213,117338.41104457353,0
-44075.70810427443,117033.73995627844,0
-44437.06218574071,116707.81274554416,0
-44791.330893060585,116580.276010909,0
-45152.684974526856,116410.22703139545,0
-45386.50232135798,116169.32431041794,0
-45584.89279745711,115942.59233773322,0
-45875.39313745941,115914.25084114763,0
-46364.283953560844,115737.11648748768,0
-46839.00402136948,115751.28723578049,0
-47349.150959910105,115730.03111334129,0
-48617.43293211526,115701.68961675571,0
-50826.51782063218,115678.01685446012,0
-50828.610280714856,106255.32968707917,0
-37386.03961059329,103783.79291314562,1
-37316.16218408244,104185.58811558303,1
-36958.0403732143,104526.24056982345,1
-36661.06131054316,104718.40349272829,1
-36477.63306595217,104797.01559755302,1
-36224.32739485032,105050.32126865488,1
-36005.9604370039,105390.97372289529,1
-35708.98137433276,105845.17699521585,1
-35080.084535735055,106168.36009282855,1
-34486.12641039279,106159.6254145147,1
-34093.06588626923,106351.78833741955,1
-34145.473956152375,106657.50207840455,1
-34084.33120795537,107059.29728084196,1
-34040.65781638609,107146.64406398054,1
-33306.94483802211,107155.37874229439,1
-33027.43513197868,107006.88921095882,1
-32826.537530759975,107024.35856758653,1
-32564.497181344268,107155.37874229439,1
-32398.538293380985,107129.17470735281,1
-32258.783440359275,106980.68517601724,1
-31935.600342746566,107644.52072787037,1
-32223.844727103846,107731.86751100894,1
-32337.395545183987,107932.76511222766,1
-32162.701978906847,108203.54013995723,1
-31970.539056001995,108264.68288815422,1
-31760.90677646943,108098.72400019094,1
-31708.498706586284,107819.21429414752,1
-31918.130986118853,107627.05137124266,1
-32250.048762045415,106910.80774950639,1
-32284.987475300844,106570.15529526598,1
-32494.61975483341,106404.19640730269,1
-32756.660104249117,106439.13512055812,1
-32940.088348840116,106587.62465189368,1
-33079.843201861826,106369.25769404726,1
-33106.047236803395,106203.29880608399,1
-33027.43513197868,106019.870561493,1
-32922.618992212396,105792.76892533271,1
-32581.96653797198,105871.38103015743,1
-32267.518118673128,106011.13588317913,1
-32153.96730059299,106246.97219765327,1
-31918.130986118853,106360.52301573342,1
-31717.233384900144,106727.3795049154,1
-31542.539818623005,107068.03195915582,1
-31394.05028728744,107452.35780496552,1
-31289.234147521154,107766.80622426436,1
-30922.377658339163,107950.23446885537,1
-30559.131896257,107906.69251828616,1
-30193.023296919575,107960.53201818874,1
-29988.433197289844,108272.80111762357,1
-29826.914697582157,108498.92701721433,1
-29536.18139810832,108531.2307171559,1
-29127.00119884885,108552.7665171169,1
-28954.71479916065,108315.87271754563,1
-28567.070399862205,108434.31961733126,1
-28319.408700310418,108886.57141651279,1
-28039.4433008171,109263.44791583074,1
-27910.228501050948,109543.41331532404,1
-27608.7273015966,109511.1096153825,1
-27371.833502025333,109349.59111567482,1
-27404.137201966867,108972.71461635688,1
-27382.60140200584,108520.46281717537,1
-27468.74460184994,107982.06781814975,1
-27196.578872167287,107838.28728312191,1
-27039.354662517864,107707.26710841407,1
-26768.579634788297,107934.36874457434,1
-26558.94735525573,108257.55184218705,1
-26218.29490101531,108659.34704462446,1
