y_vals,x_vals
-1517.1509509053574,-439158.14653719985
-2073.5056607863594,-439332.0073840377
-2502.3624163196323,-439297.2352146701
-2896.4470024853426,-439366.77955340524
-3255.75941928349,-439552.2311233656
-3499.164604856429,-439575.41256961063
-3707.797621061805,-439274.0537684251
-3684.6161748167633,-438995.8764134846
-2687.8139862799667,-438891.55990538193
-2629.8603706673625,-438752.47122791165
-2467.59024695207,-438706.10833542154
-1157.83853410721,-438381.568087991
-740.5725016964583,-438149.7536255405
-195.80851493797624,-437790.4412087424
522.8163186583186,-437558.626746292
1067.5803054168007,-437489.0824075569
1681.888630910407,-437477.49168443435
1774.6144158905754,-437894.75771684514
1751.4329696455331,-438114.981456173
1716.6608002779692,-438184.5257949081
800.9936735988197,-438184.5257949081
406.9090874331101,-438196.11651803064
-91.49200683528788,-438393.1588111135
-543.5302086136027,-438636.5639966865
-810.1168404315836,-438822.01556664676
-1273.7457653324184,-438926.33207474946
-1528.7416740278784,-439134.96509095485
