y_vals,x_vals
-0.1825132593939145,-52.83072502842515
-0.24944273099259906,-52.85164048829974
-0.3010341986832518,-52.84745739632481
-0.34844257439898674,-52.85582358027465
-0.39166785813980387,-52.87813340414088
-0.4209495019642284,-52.88092213212416
-0.4460480538137352,-52.84466866834154
-0.4432593258304567,-52.811203932542206
-0.32334402254948,-52.79865465661745
-0.31637220259128374,-52.78192228871777
-0.2968511067083341,-52.776344832751214
-0.1392879756530974,-52.73730264098532
-0.08909087195408394,-52.70941536115253
-0.023555764347038544,-52.66619007741171
0.06289480313459572,-52.63830279757893
0.12842991074164115,-52.6299366136291
0.202331202298522,-52.628542249637455
0.21348611423163624,-52.678739353336475
0.21069738624835765,-52.705232269177614
0.2065142942734397,-52.71359845312745
0.09635953893393802,-52.71359845312745
0.04895116321820315,-52.71499281711909
-0.011006488422285132,-52.738697004976956
-0.06538668409621641,-52.76797864880139
-0.09745705590391951,-52.79028847266761
-0.15323161556948994,-52.80283774859237
-0.18390762338555378,-52.82793630044187
