y_vals,x_vals,shape_id
-3.945825459217262,-22.52111394394984,0
-3.9638971018020657,-22.52250407030252,0
-3.9694576072127745,-22.51972381759716,0
-3.9694576072127745,-22.493311416896297,0
-3.959031659567695,-22.475239774311497,0
-3.9388748274538763,-22.452302689492317,0
-3.926363690279781,-22.443961931376258,0
-3.9041216686369458,-22.423110036086097,0
-3.8756240784070637,-22.409208772559325,0
-3.8485166145298586,-22.40364826714862,0
-3.825579529710685,-22.410598898912006,0
-3.8137634557129285,-22.424500162438775,0
-3.809593076654897,-22.434926110083854,0
-3.819323961123637,-22.45786319490303,0
-3.831835098297732,-22.471069395253462,0
-3.8436511722954885,-22.480800279722203,0
-3.851991930411551,-22.488445974661925,0
-3.851991930411551,-22.488445974661925,0
-3.879099394288757,-22.498871922307004,0
-3.906206858165962,-22.51068799630476,0
-3.918022932163718,-22.5113830594811,0
-3.9340093852195053,-22.51624850171547,0
-3.946520522393601,-22.5204188807735,0
