y_vals,x_vals,shape_id
34816.06900135318,410317.51899931487,0
34600.310151921876,410205.64404035045,0
34448.47985047021,410549.25998574105,0
34376.56023399311,410868.90272563935,0
34224.72993254144,411156.58119154774,0
33984.99787761777,411220.50973952736,0
34008.97108311014,411404.3043149689,0
34176.78352155671,411556.1346164205,0
34496.42626145495,411588.0988904103,0
34744.14938487608,411316.4025614968,0
34999.863576794676,411124.6169175579,0
35119.72960425651,410828.94738315203,0
35007.85464529213,410533.27784874616,0
34832.0511383481,410309.5279308174,0
