y_vals,x_vals,shape_id
-48998.665306879964,-135658.66181712088,0
-48730.09557746965,-136341.27654603875,0
-48349.62179413837,-136833.654383291,0
-47868.43436227823,-137091.03370730922,0
-47913.19598384662,-137370.7938421116,0
-47812.48233531775,-137997.45654406902,0
-47734.149497573075,-138232.45505730304,0
-47443.19895737857,-138221.26465191095,0
-47208.200444144546,-138098.1701925979,0
-47062.725174047286,-138310.78789504772,0
-46984.0707701959,-138497.421446085,0
-46911.451532216546,-138778.820993255,0
-46856.987103732026,-139259.92344486827,0
-47011.30298443817,-139450.54894456407,0
-47111.15443665978,-139795.49032496606,0
-47120.23184140721,-140104.1220863783,0
-47138.386650902044,-140340.13460981124,0
-47056.69000817526,-140567.06972849675,0
-46993.14817494332,-140948.32072788838,0
-46956.83855595365,-141138.9462275842,0
-46775.29046100524,-141356.8039415223,0
-46575.58755656201,-141483.88760798614,0
-46421.27167585587,-141683.5905124294,0
-46266.955795149726,-141937.75784535715,0
-46203.41396191779,-142028.53189283135,0
-46067.252890706484,-142264.54441626428,0
-45949.246628990026,-142391.62808272813,0
-45704.15670080969,-142545.94396343429,0
-45540.76341535613,-142645.7954156559,0
-45449.98936788193,-142791.0338916146,0
-45431.83455838709,-142999.81420080527,0
-45431.83455838709,-143190.4397005011,0
-45449.98936788193,-143371.9877954495,0
-45477.22158212419,-143762.31619958856,0
-45504.45379636645,-144089.10277049567,0
-45525.59090735305,-144318.1112546111,0
-45393.04995695406,-144583.19315540907,0
-45267.87239268836,-144686.28056127494,0
-44980.70033349058,-144811.45812554064,0
-44818.7058385585,-144863.00182847356,0
-44546.26055162727,-144966.08923433945,0
-44494.716848694334,-145267.98806580377,0
-44407.79603070728,-145526.79623145607,0
-44407.79603070728,-145717.03312312168,0
-44609.223327765016,-145952.03163635574,0
-45090.41075962516,-146019.1740687083,0
-45549.21738070112,-146063.9356902767,0
-46019.214407169165,-145817.7467716506,0
-46254.21292040319,-145482.03460988766,0
-46366.11697432415,-145112.7512319485,0
-46298.97454197157,-144832.99109714606,0
