y_vals,x_vals,shape_id
58072.41339970233,-106793.08092062491,0
57327.469272422786,-107193.14350749725,0
56692.88723807355,-108131.22129740483,0
56196.257819887185,-109041.70856407983,0
55892.762064328854,-109703.88112166165,0
55506.49473907279,-110614.36838833665,0
55202.99898351446,-111193.76937622073,0
55340.95159967733,-112118.05190451202,0
55906.557325945134,-112504.31922976808,0
56651.50145322468,-112187.02821259346,0
57327.469272422786,-111524.85565501163,0
57686.146074446275,-110793.70678934838,0
58444.8854633421,-109703.88112166165,0
58817.357526981876,-108903.75594791694,0
59534.711131028846,-107441.45821659044,0
59107.05802092392,-106586.15199638059,0
58320.728108795505,-106682.71882769461,0
58127.59444616748,-106779.28565900863,0
