y_vals,x_vals
27637.03423264319,-104466.14013702373
26878.49844763966,-104306.44839281245
26399.42321500585,-104000.37254974087
25840.5021102664,-103667.6814159674
25534.4262671948,-103601.1431892127
25348.11923228165,-103188.60618333358
25574.34920324762,-102682.91565999787
25773.9638835117,-102576.45449719037
25680.810366055128,-102203.84042736408
26066.73208123237,-101804.6110668359
26532.499668515236,-101777.99577613402
27131.3437093075,-101950.99516569624
27370.88132562441,-102084.07161920563
27424.111907028164,-102762.76153210351
27796.725976854457,-103414.83615429954
28009.648302469483,-104080.21842184651
27676.957168696004,-104452.83249167279
