y_vals,x_vals
62061.82342458601,-454710.18253942736
61629.32526900976,-454597.35693362483
61535.30393084101,-454193.0651794992
61676.33593809413,-453882.79476354236
61892.58501588226,-453816.9798268242
62400.300241993515,-453939.2075664436
62588.34291833102,-454014.42463697854
62766.98346085164,-453769.96915773983
62898.6133342879,-453111.8197905586
63302.90508841352,-452923.77711422107
63942.25018796102,-453027.20058620675
64045.67365994665,-453224.64539636107
64308.93340681915,-453544.31794613483
64619.20382277603,-453826.3819606411
64854.25716819791,-454052.03317224607
65145.723316521035,-454305.89078530174
65004.69130926791,-454747.7910746949
65014.09344308478,-455076.8657582855
65267.95105614041,-455424.74470950983
65427.787331027284,-455829.03646363545
65343.16812667541,-456139.30687959236
64844.855034381035,-455866.644998903
64666.2144918604,-455688.00445638236
64026.8693923129,-455255.5063008061
63820.022448341646,-455020.4529553843
63669.588307271646,-454851.21454668045
63396.92642658228,-454578.55266599107
62973.8304048229,-454663.171870343
62635.35358741539,-454672.57400415983
62080.62769221976,-454700.78040561045
