y_vals,x_vals,shape_id
-48347.715920189294,-134953.21790674882,0
-48302.3288964522,-135461.55257260433,0
-48111.70339675638,-135788.33914351146,0
-47812.14904009152,-135797.4165482589,0
-47412.74323120504,-135879.11319098563,0
-47231.19513625664,-136006.19685744954,0
-46977.027803328885,-136296.67380936697,0
-46822.711922622744,-136868.55030845443,0
-46913.48597009694,-137385.96237905737,0
-47004.26001757114,-138030.45811612418,0
-46904.40856534952,-138366.3220917787,0
-46895.3311606021,-138684.03125793842,0
-46831.78932737016,-139010.81782884552,0
-46859.02154161242,-139283.13997126813,0
-47013.33742231856,-139909.4808988401,0
-47095.03406504534,-140272.5770887369,0
-46958.87299383404,-140753.67954035016,0
-46840.86673211758,-141153.08534923664,0
-46704.705660906286,-141325.55603943762,0
-46422.93379830716,-141642.82197294367,0
-46114.302036894886,-142314.54992425273,0
-46513.70784578136,-142468.86580495886,0
-47149.12617810076,-141996.84075809302,0
-47548.53198698724,-141316.03540203653,0
-47793.621915167576,-140417.37233204194,0
-48347.34360476019,-140135.97278487193,0
-48637.82055667764,-139618.56071426897,0
-48619.66574718279,-138910.52314397023,0
-48456.27246172923,-138365.87885912505,0
-48410.88543799213,-138084.47931195502,0
-48356.42100950761,-136967.95852802237,0
-48891.98788960539,-135452.0319352032,0
-48837.52346112087,-134998.16169783223,0
-48347.34360476019,-134934.6198646003,0
