y_vals,x_vals,shape_id
-21879.176820605495,-169683.86530903887,0
-21823.224793645015,-169180.29706639453,0
-22058.22330687904,-168934.1081477684,0
-22517.02992795499,-168922.9177423763,0
-22931.07492746256,-169090.77382325777,0
-23132.502224520293,-169191.48747178662,0
-23568.928034812056,-169426.48598502064,0
-23591.308845596246,-169437.67639041273,0
-23915.83060196704,-169762.19814678354,0
-24050.1154666722,-170176.24314629112,0
-24050.1154666722,-170489.57449726982,0
-24050.1154666722,-170556.7169296224,0
-24128.448304416874,-171116.2371992272,0
-24329.875601474607,-171653.37665804784,0
-24251.542763729933,-172089.8024683396,0
-23837.497764222368,-172436.70503549458,0
-23266.78708922545,-172123.37368451586,0
-22729.647630404826,-171295.28368550076,0
-22617.743576483856,-170657.43057815125,0
-22572.981954915474,-170120.29111933062,0
-21901.55763138969,-169683.86530903887,0
