y_vals,x_vals
67860.95672699595,-450436.32508629415
66817.3198733228,-450520.944290646
66516.4515911828,-450530.3464244629
66065.1491679728,-450201.2717408723
65651.4552800303,-449919.207726366
65284.772061172174,-449533.7202398741
65087.3272510178,-449223.4498239173
65096.729384834674,-448452.47485093353
65754.87875201592,-448283.2364422297
66328.4089148453,-448367.8556465817
66854.9284085903,-448443.0727171166
66807.91773950594,-448772.14740070724
66403.6259853803,-448866.168738876
66046.34490033906,-448960.19007704477
65877.1064916353,-449279.86262681853
66102.7577032403,-449637.14371185977
66760.90707042156,-449862.79492346477
67588.29484630655,-449759.37145147915
67983.18446661532,-449486.70957078977
68312.25915020595,-449796.9799867466
68331.06341783969,-450022.6311983517
68086.60793860094,-450379.9122833929
67879.76099462969,-450417.52081866044
