y_vals,x_vals,shape_id
-50857.850973945475,-147269.4196959279,0
-50879.94113234531,-147549.22836899242,0
-50806.30727101254,-147748.03979459088,0
-50636.949389947185,-147858.49058659005,0
-50312.960400083015,-147836.40042819022,0
-50084.69542995144,-147696.49609165796,0
-49797.52337075366,-147556.5917551257,0
-49377.8103611569,-147173.69567619532,0
-49009.64105449308,-146849.70668633116,0
-48980.18750995997,-146341.63304313508,0
-48869.73671796082,-145863.01294447208,0
-48759.285925961674,-145465.39009327517,0
-48693.01545076219,-145119.31094501118,0
-48707.74222302874,-144795.321955147,0
-48958.09735156014,-144522.87666821576,0
-49635.528875821576,-144220.97783675144,0
-49856.43045981987,-144316.70185648403,0
-50187.78283581732,-144353.51878715042,0
-50467.59150888182,-144596.51052954854,0
-50784.21711261271,-145008.860153012,0
-50865.21436007875,-145649.47474660707,0
-50865.21436007875,-146348.99642926833,0
-50843.124201678926,-147247.3295375281,0
