y_vals,x_vals,shape_id
-19123.953348671694,106118.53660061055,0
-18896.851712511416,106607.67858618654,0
-18643.546041409565,106913.39232717153,0
-18285.42423054143,107210.37138984266,0
-17866.159671476296,107288.98349466738,0
-17630.32335700216,106756.1681175221,0
-17665.262070257588,106031.18981747198,0
-17612.854000374446,105349.88490899115,0
-17962.24113292872,104834.53888847359,0
-18241.750838972144,104432.74368603616,0
-18267.954873913717,104170.70333662047,0
-18451.383118504713,104057.15251854032,0
-18704.688789606564,104048.41784022645,0
-18923.055747452985,104153.23397999274,0
-19123.953348671694,104380.33561615301,0
-19254.973523379547,104694.78403545187,0
-19289.912236634977,104965.55906318144,0
-19246.23884506569,105445.96637044357,0
-19089.014635416264,106109.8019222967,0
