y_vals,x_vals
63592.73722374323,-111138.8495925623
63265.9939063972,-111309.3243668298
62953.45682024011,-111316.42748242429
62861.116317511885,-110918.65300913344
62839.80697072845,-110627.4252697598
63024.48797618491,-110208.34144968554
63308.612599964064,-109902.90747912295
63606.94345493219,-109462.51431226524
64139.677124518115,-109441.2049654818
64466.42044186415,-109604.57662415483
64530.34848221447,-109746.6389360444
64381.183054730405,-110073.38225339043
64182.295818085,-110307.78506800825
64061.54285297885,-110478.25984227576
63820.03692276656,-110755.28135046044
63599.84033933771,-111153.05582375126
