y_vals,x_vals
7.650206288016311,-13.370003605985247
7.6108990669395835,-13.390511721329625
7.573300855474886,-13.391366226135643
7.562192292996681,-13.343513956998754
7.559628778578634,-13.308479259952104
7.581845903535045,-13.258063476397172
7.616026095775678,-13.221319769738493
7.651915297628343,-13.168340471765509
7.71600315807953,-13.165776957347461
7.755310379156258,-13.185430567885827
7.763000922410401,-13.202520664006142
7.745056321484069,-13.24182788508287
7.721130186915626,-13.270026543681393
7.706603605213356,-13.290534659025775
7.677550441808817,-13.323860346460393
7.651060792822327,-13.371712615597279
