y_vals,x_vals
67265.30464163284,-106054.20499172651
66945.6644398813,-105933.45202662038
66718.36474085796,-105748.7710211639
66661.53981610213,-105372.30589465653
67016.69559582608,-105208.9342359835
67769.62584884086,-105002.94388374362
68082.16293499795,-105002.94388374362
68302.35951842679,-104967.42830577122
68565.17479542251,-105429.13081941236
68771.16514766241,-105812.69906151421
68806.6807256348,-106125.2361476713
68728.54645409553,-106288.60780634433
68153.19409094274,-106167.85484123818
67584.94484338441,-106096.82368529338
67236.89217925494,-106039.99876053755
