y_vals,x_vals
7.512795005753136,-12.628679679676079
7.468551665323325,-12.649747937023607
7.432735627832526,-12.641320634084595
7.426415150628268,-12.613931899532806
7.449590233710549,-12.555994191827104
7.468551665323325,-12.501216722723528
7.520168895824771,-12.471721162436987
7.601281686612758,-12.448546079354706
7.656059155716334,-12.450652905089457
7.67186034872698,-12.471721162436987
7.652898917114204,-12.50332354845828
7.598121448010629,-12.547566888888092
7.564412236254582,-12.567581733368245
7.533863263100665,-12.596023880787406
7.519115482957395,-12.624466028206573
