y_vals,x_vals
62450.49880094045,-104976.55594078203
62082.72373502348,-105151.686924552
61785.00106261451,-105081.63453104401
61732.46176748352,-104853.96425214302
61925.1058496305,-104372.35404677558
62082.72373502348,-103917.01348897362
62511.794645259935,-103671.83011169564
63186.04893277438,-103479.18602954867
63641.38949057634,-103496.69912792566
63772.73772840382,-103671.83011169564
63615.119843010834,-103934.52658735061
63159.77928520888,-104302.30165326758
62879.569711176904,-104468.67608784907
62625.62978471043,-104705.10291593854
62503.03809607144,-104941.52974402803
