y_vals,x_vals,shape_id
18588.420654667825,-140899.68450231626,0
18457.190821998465,-140791.88856833783,0
18382.2023461874,-140641.91161671572,0
18354.081667758255,-140538.80246247552,0
18368.14200697283,-140224.7882200167,0
18611.854553358782,-140088.87160760912,0
18766.518284719095,-140070.12448865635,0
18855.567099744734,-140070.12448865635,0
18907.12167686484,-140224.7882200167,0
19024.291170319626,-140290.40313635135,0
19089.906086654308,-140393.51229059158,0
19239.88303827643,-140562.23636116646,0
19319.558293825685,-140660.65873566846,0
19361.739311469406,-140759.0811101705,0
19380.48643042217,-140871.5638238871,0
19380.48643042217,-140969.98619838912,0
19352.365751993024,-141040.28789446197,0
19286.750835658342,-141105.90281079666,0
19178.95490167994,-141110.58959053486,0
19118.026765083454,-141105.90281079666,0
18911.80845660303,-141068.40857289115,0
18785.265403671863,-141026.2275552474,0
18663.409130478885,-140974.67297812732,0
18588.420654667825,-140894.99772257806,0
